date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:05	760/760	---M-Z	200	added ('OK')	application/x-javascript	etag:%222f8-66cff489-6949a56b480043ad;gz%22	https://studysmartplus.online/assets/js/plugins.js	studysmartplus.online/assets/js/plugins.js	(from https://studysmartplus.online/)
20:43:06	5264/5264	---M-Z	200	added ('OK')	application/x-javascript	etag:%221490-66cff489-204c1a7c58b157a0;gz%22	https://studysmartplus.online/assets/js/main.js	studysmartplus.online/assets/js/main.js	(from https://studysmartplus.online/)
20:43:07	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65383186-d39e84720b0c6fe9;gz%22	https://studysmartplus.online/assets/css/owl.video.play.png	studysmartplus.online/assets/css/owl.video.play.png	(from https://studysmartplus.online/assets/css/owl.carousel.min.css)
20:43:08	5574/5574	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2215c6-66cff48c-ac1ca3f7f3cad39b;gz%22	https://studysmartplus.online/assets/fonts/Flaticon.eot	studysmartplus.online/assets/fonts/Flaticon.eot	(from https://studysmartplus.online/assets/css/flaticon.css)
20:43:09	5574/5574	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2215c6-66cff48c-ac1ca3f7f3cad39b;gz%22	https://studysmartplus.online/assets/fonts/Flaticon.eot?	studysmartplus.online/assets/fonts/Flaticond41d.eot	(from https://studysmartplus.online/assets/css/flaticon.css)
20:43:10	3036/3036	---M--	200	added ('OK')	font/woff2	etag:%22bdc-66cff48c-e9e3f01a653395c3;;;%22	https://studysmartplus.online/assets/fonts/Flaticon.woff2	studysmartplus.online/assets/fonts/Flaticon.woff2	(from https://studysmartplus.online/assets/css/flaticon.css)
20:43:11	3792/3792	---M--	200	added ('OK')	application/font-woff	etag:%22ed0-66cff48c-64418f2e535e098b;;;%22	https://studysmartplus.online/assets/fonts/Flaticon.woff	studysmartplus.online/assets/fonts/Flaticon.woff	(from https://studysmartplus.online/assets/css/flaticon.css)
20:43:12	5396/5396	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%221514-66cff48c-a8f78f8849ba0800;gz%22	https://studysmartplus.online/assets/fonts/Flaticon.ttf	studysmartplus.online/assets/fonts/Flaticon.ttf	(from https://studysmartplus.online/assets/css/flaticon.css)
20:43:13	28457/28457	---M-Z	200	added ('OK')	image/svg+xml	etag:%226f29-66cff48c-596b78b01b8d07e4;gz%22	https://studysmartplus.online/assets/fonts/Flaticon.svg	studysmartplus.online/assets/fonts/Flaticon.svg	(from https://studysmartplus.online/assets/css/flaticon.css)
20:43:14	6828/6828	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221aac-66cff48c-b1b5b3684e4be4d3;gz%22	https://studysmartplus.online/assets/fonts/gijgo-material.eot?235541	studysmartplus.online/assets/fonts/gijgo-materialba15.eot	(from https://studysmartplus.online/assets/css/gijgo.css)
